year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;ack;r1;b2;131;RGS001;101MER01;101MER01;76,44736842
y17;ack;r1;b5;410;RGS002;101MER02;101MER02;102,1783762
y17;ack;r1;b1;50;RGS003;101MER03;101MER03;82,58129335
y17;ack;r1;b4;313;RGS004;101MER04;101MER04;101,8890249
y17;ack;r1;b2;155;RGS005;101MER05;101MER05;98,94749082
y17;ack;r1;b1;46;RGS006;101MER06;101MER06;60,25940432
y17;ack;r1;b4;314;RGS007;101MER07;101MER07;94,23153815
y17;ack;r1;b4;318;RGS008;101MER08;101MER08;108,9463484
y17;ack;r1;b3;249;RGS009;101MER09;101MER09;99,15289678
y17;ack;r1;b3;230;RGS010;101MER10;101MER10;87,83565891
y17;ack;r1;b5;438;RGS011;101MER11;101MER11;100,9467564
y17;ack;r1;b1;52;RGS012;101MER12;101MER12;96,2256018
y17;ack;r1;b3;260;RGS013;101MER13;101MER13;92,72064463
y17;ack;r1;b5;413;RGS014;101MER14;101MER14;97,49334965
y17;ack;r1;b5;407;RGS015;101MER15;101MER15;83,89179927
y17;ack;r1;b1;36;RGS016;101MER16;101MER16;106,2606283
y17;ack;r1;b2;112;RGS017;101MER17;101MER17;90,63453692
y17;ack;r1;b1;31;RGS018;101MER18;101MER18;94,43427173
y17;ack;r1;b4;360;RGS019;101MER19;101MER19;94,76107711
y17;ack;r1;b5;427;RGS020;101QUA01;101QUA01;75,39485924
y17;ack;r1;b2;127;RGS021;101JEN01;101JEN01;95,06591187
y17;ack;r1;b3;254;RGS022;101JEN02;101JEN02;79,78323133
y17;ack;r1;b5;460;RGS023;101JEN03;101JEN03;94,39153407
y17;ack;r1;b3;210;RGS024;101JEN04;101JEN04;108,2470828
y17;ack;r1;b2;109;RGS025;101JEN05;MER;90,65952672
y17;ack;r1;b1;49;RGS026;101JEN06;101JEN06;100,200816
y17;ack;r1;b2;147;RGS027;101JEN07;101JEN07;92,19339045
y17;ack;r1;b4;307;RGS028;101JEN08;101JEN08;101,8959608
y17;ack;r1;b3;219;RGS029;101JEN09;MER;110,9630763
y17;ack;r1;b1;40;RGS030;101JEN10;101JEN10;87,47564259
y17;ack;r1;b1;24;RGS031;101JEN11;101JEN11;98,77764178
y17;ack;r1;b1;3;RGS032;101JEN12;101JEN12;80,32933497
y17;ack;r1;b1;48;RGS033;101ETI01;101ETI01;108,2389229
y17;ack;r1;b4;328;RGS034;101ETI02;101ETI02;89,64418605
y17;ack;r1;b1;15;RGS035;101ETI03;101ETI03;91,15208078
y17;ack;r1;b2;125;RGS036;101ETI04;101ETI04;109,3558548
y17;ack;r1;b1;11;RGS037;101ETI05;101ETI05;104,9312118
y17;ack;r1;b4;312;RGS038;101ETI06;101ETI06;114,9789474
y17;ack;r1;b1;9;RGS039;101ETI07;101ETI07;95,11685027
y17;ack;r1;b5;419;RGS040;101ETI08;101ETI08;94,57103223
y17;ack;r1;b5;452;RGS041;101ETI09;101ETI09;94,06768666
y17;ack;r1;b4;303;RGS042;101ETI10;101ETI10;90,93920849
y17;ack;r1;b3;211;RGS043;101ETI11;101ETI11;97,51448388
y17;ack;r1;b5;425;RGS044;101ETI12;101ETI12;92,89263566
y17;ack;r1;b3;204;RGS045;101ETI13;101ETI13;96,76483068
y17;ack;r1;b4;349;RGS046;101ETI14;101ETI14;78,76642187
y17;ack;r1;b2;126;RGS047;101OTT04;101OTT04;89,76650347
y17;ack;r1;b2;137;RGS048;101OTT05;MER;95,36944104
y17;ack;r1;b1;54;RGS049;101OTT06;101OTT06;76,62209302
y17;ack;r1;b5;415;RGS050;101OTT09;MER;101,4912893
y17;ack;r1;b4;342;RGS051;146MER01;146MER01;88,68561812
y17;ack;r1;b5;443;RGS052;146MER02;146MER02;95,54712362
y17;ack;r1;b4;325;RGS053;146MER03;146MER03;93,40703794
y17;ack;r1;b5;422;RGS054;146MER04;146MER04;88,93512852
y17;ack;r1;b4;334;RGS055;146MER05;146MER05;96,72366381
y17;ack;r1;b1;21;RGS056;146MER06;146MER06;99,1002448
y17;ack;r1;b3;231;RGS057;146MER07;146MER07;84,57252142
y17;ack;r1;b2;107;RGS058;146MER08;146MER08;91,47966136
y17;ack;r1;b2;160;RGS059;146MER09;146MER09;100,5846593
y17;ack;r1;b5;402;RGS060;146MER10;146MER10;74,83333333
y17;ack;r1;b5;447;RGS061;146QUA01;146QUA01;94,03359853
y17;ack;r1;b5;445;RGS062;146QUA02;146QUA02;92,74296206
y17;ack;r1;b4;345;RGS063;146QUA03;146QUA03;95,99755202
y17;ack;r1;b2;151;RGS064;146QUA04;146QUA04;81,46919625
y17;ack;r1;b5;437;RGS065;146QUA05;146QUA05;99,27319461
y17;ack;r1;b5;409;RGS066;146QUA06;146QUA06;100,1615667
y17;ack;r1;b2;124;RGS067;146QUA07;146QUA07;110,1868625
y17;ack;r1;b5;457;RGS068;146QUA08;146QUA08;62,60214198
y17;ack;r1;b1;33;RGS069;146QUA09;146QUA09;91,62015504
y17;ack;r1;b4;337;RGS070;146QUA10;146QUA10;91,79302326
y17;ack;r1;b4;339;RGS071;146JEN01;MER;109,8470012
y17;ack;r1;b1;42;RGS072;146JEN02;146JEN02;85,43818849
y17;ack;r1;b1;30;RGS073;146JEN03;146JEN03;91,66891065
y17;ack;r1;b3;245;RGS074;146JEN04;MER;89,94100367
y17;ack;r1;b5;431;RGS075;146JEN05;146JEN05;98,58139535
y17;ack;r1;b5;412;RGS076;146JEN06;146JEN06;90,84485924
y17;ack;r1;b4;322;RGS077;146JEN07;146JEN07;104,871481
y17;ack;r1;b5;455;RGS078;146ETI01;146ETI01;91,66958384
y17;ack;r1;b5;421;RGS079;146ETI02;146ETI02;91,59510404
y17;ack;r1;b3;240;RGS080;146ETI03;146ETI03;94,97715218
y17;ack;r1;b1;38;RGS081;146ETI04;146ETI04;87,81354549
y17;ack;r1;b4;331;RGS082;146ETI05;146ETI05;87,01754386
y17;ack;r1;b1;12;RGS083;146ETI06;146ETI06;98,29388005
y17;ack;r1;b2;142;RGS084;146ETI07;146ETI07;77,06144431
y17;ack;r1;b4;340;RGS085;146ETI08;146ETI08;91,77054264
y17;ack;r1;b2;101;RGS086;146ETI09;146ETI09;92,76621787
y17;ack;r1;b2;150;RGS087;146ETI10;146ETI10;82,11591187
y17;ack;r1;b4;354;RGS088;146ETI12;146ETI12;98,8495308
y17;ack;r1;b3;212;RGS089;146ETI13;146ETI13;91,69549164
y17;ack;r1;b5;416;RGS090;146ETI14;146ETI14;104,7840881
y17;ack;r1;b5;414;RGS091;146OTT01;146OTT01;86,4127907
y17;ack;r1;b1;28;RGS092;146OTT02;146OTT02;101,3572827
y17;ack;r1;b3;233;RGS093;146OTT03;146OTT03;93,07992656
y17;ack;r1;b2;133;RGS094;146OTT04;146OTT04;96,83133415
y17;ack;r1;b4;352;RGS095;146OTT05;146OTT05;87,97882497
