year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HLG;pltb;MT;ZR;NF;RAM;RH
y17;ack;b2;131;RGS001;101MER01;101MER01;76,44736842;1;52,68;232;1;4;2;3;6
y17;ack;b5;410;RGS002;101MER02;101MER02;102,1783762;6;65,91;421;3;3;1;1;3
y17;ack;b1;50;RGS003;101MER03;101MER03;82,58129335;8;53,59;150;3;4;1;1;8
y17;ack;b4;313;RGS004;101MER04;101MER04;101,8890249;8;54,95;311;4;4;1;1;3
y17;ack;b2;155;RGS005;101MER05;101MER05;98,94749082;1;60;220;1;1;1;1;6
y17;ack;b1;46;RGS006;101MER06;101MER06;60,25940432;9;53,64;163;1;4;1;1;1
y17;ack;b4;314;RGS007;101MER07;101MER07;94,23153815;7;56,32;312;3;7;1;1;3
y17;ack;b4;318;RGS008;101MER08;101MER08;108,9463484;6;52,68;316;3;1;1;3;5
y17;ack;b3;249;RGS009;101MER09;101MER09;99,15289678;1;63,64;269;1;5;3;1;1
y17;ack;b3;230;RGS010;101MER10;101MER10;87,83565891;9;56,36;262;7;3;1;1;2
y17;ack;b5;438;RGS011;101MER11;101MER11;100,9467564;3;64,95;384;6;1;2;2;1
y17;ack;b1;52;RGS012;101MER12;101MER12;96,2256018;9;60,86;152;1;5;2;4;1
y17;ack;b3;260;RGS013;101MER13;101MER13;92,72064463;7;61,32;275;1;1;1;1;5
y17;ack;b5;413;RGS014;101MER14;101MER14;97,49334965;8;54,09;371;2;4;1;1;2
y17;ack;b5;407;RGS015;101MER15;101MER15;83,89179927;5;65,41;424;1;4;1;1;3
y17;ack;b1;36;RGS016;101MER16;101MER16;106,2606283;1;64,09;167;1;1;1;5;1
y17;ack;b2;112;RGS017;101MER17;101MER17;90,63453692;1;52,73;239;1;1;1;1;9
y17;ack;b1;31;RGS018;101MER18;101MER18;94,43427173;1;65,45;172;4;4;1;1;9
y17;ack;b4;360;RGS019;101MER19;101MER19;94,76107711;1;60,41;335;2;1;1;1;5
y17;ack;b5;427;RGS020;101QUA01;101QUA01;75,39485924;1;61,82;379;1;1;1;3;2
y17;ack;b2;127;RGS021;101JEN01;101JEN01;95,06591187;3;63,64;199;1;1;1;1;9
y17;ack;b3;254;RGS022;101JEN02;101JEN02;79,78323133;4;56,32;274;1;1;1;3;1
y17;ack;b5;460;RGS023;101JEN03;101JEN03;94,39153407;1;69,95;395;8;1;1;1;7
y17;ack;b3;210;RGS024;101JEN04;101JEN04;108,2470828;2;62,27;301;9;1;1;2;2
y17;ack;b2;109;RGS025;101JEN05;MER;90,65952672;2;63,18;242;1;3;2;1;7
y17;ack;b1;49;RGS026;101JEN06;101JEN06;100,200816;2;61,82;149;3;1;1;1;9
y17;ack;b2;147;RGS027;101JEN07;101JEN07;92,19339045;2;60,45;222;1;1;2;1;7
y17;ack;b4;307;RGS028;101JEN08;101JEN08;101,8959608;1;64,5;364;9;4;2;1;1
y17;ack;b3;219;RGS029;101JEN09;MER;110,9630763;9;65,41;298;9;1;1;7;1
y17;ack;b1;40;RGS030;101JEN10;101JEN10;87,47564259;3;53,14;146;3;4;1;3;1
y17;ack;b1;24;RGS031;101JEN11;101JEN11;98,77764178;1;67,23;173;1;1;1;1;8
y17;ack;b1;3;RGS032;101JEN12;101JEN12;80,32933497;8;61,77;127;6;1;3;1;1
y17;ack;b1;48;RGS033;101ETI01;101ETI01;108,2389229;4;65,45;161;1;7;1;1;5
y17;ack;b4;328;RGS034;101ETI02;101ETI02;89,64418605;3;61,36;320;2;3;1;1;3
y17;ack;b1;15;RGS035;101ETI03;101ETI03;91,15208078;6;58,14;133;1;6;1;5;8
y17;ack;b2;125;RGS036;101ETI04;101ETI04;109,3558548;9;63,64;197;1;1;1;3;1
y17;ack;b1;11;RGS037;101ETI05;101ETI05;104,9312118;1;65,41;180;1;2;1;1;8
y17;ack;b4;312;RGS038;101ETI06;101ETI06;114,9789474;5;59,05;359;2;4;2;1;1
y17;ack;b1;9;RGS039;101ETI07;101ETI07;95,11685027;1;64,5;182;1;2;1;1;9
y17;ack;b5;419;RGS040;101ETI08;101ETI08;94,57103223;3;65,45;418;4;5;1;1;3
y17;ack;b5;452;RGS041;101ETI09;101ETI09;94,06768666;1;64,5;392;7;7;1;1;1
y17;ack;b4;303;RGS042;101ETI10;101ETI10;90,93920849;1;55,91;307;5;6;1;1;8
y17;ack;b3;211;RGS043;101ETI11;101ETI11;97,51448388;9;63,59;300;8;1;1;1;6
y17;ack;b5;425;RGS044;101ETI12;101ETI12;92,89263566;5;59,55;377;3;1;1;3;1
y17;ack;b3;204;RGS045;101ETI13;101ETI13;96,76483068;9;57,73;248;1;3;3;1;1
y17;ack;b4;349;RGS046;101ETI14;101ETI14;78,76642187;5;60,86;329;9;1;1;1;9
y17;ack;b2;126;RGS047;101OTT04;101OTT04;89,76650347;6;61,77;198;3;1;1;1;8
y17;ack;b2;137;RGS048;101OTT05;MER;95,36944104;8;62,68;203;4;1;3;1;1
y17;ack;b1;54;RGS049;101OTT06;101OTT06;76,62209302;1;60,45;154;2;1;1;6;2
y17;ack;b5;415;RGS050;101OTT09;MER;101,4912893;1;64,95;373;4;2;1;3;1
