year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;bre;r1;b2;118;RGS001;101MER01;101MER01;72,48666667
y17;bre;r1;b4;211;RGS002;101MER02;101MER02;74,96666667
y17;bre;r1;b5;265;RGS003;101MER03;101MER03;78,79
y17;bre;r1;b4;187;RGS004;101MER04;101MER04;72,173
y17;bre;r1;b4;199;RGS005;101MER05;101MER05;88,83
y17;bre;r1;b4;193;RGS006;101MER06;101MER06;69,04666667
y17;bre;r1;b5;255;RGS007;101MER07;101MER07;68,67833333
y17;bre;r1;b5;243;RGS008;101MER08;101MER08;69,89166667
y17;bre;r1;b1;3;RGS009;101MER09;101MER09;79,215
y17;bre;r1;b4;228;RGS010;101MER10;101MER10;82,25166667
y17;bre;r1;b5;248;RGS011;101MER11;101MER11;81,10833333
y17;bre;r1;b5;276;RGS012;101MER12;101MER12;74,965
y17;bre;r1;b4;234;RGS013;101MER13;101MER13;73,54366667
y17;bre;r1;b5;249;RGS014;101MER14;101MER14;69,856
y17;bre;r1;b5;273;RGS015;101MER15;101MER15;72,52833333
y17;bre;r1;b5;279;RGS016;101MER16;101MER16;75,27
y17;bre;r1;b3;169;RGS017;101MER17;101MER17;80,71366667
y17;bre;r1;b4;219;RGS018;101MER18;101MER18;75,36166667
y17;bre;r1;b3;154;RGS019;101MER19;101MER19;67,76033333
y17;bre;r1;b4;231;RGS020;101QUA01;101QUA01;80,52833333
y17;bre;r1;b2;86;RGS021;101JEN01;MER;86,25833333
y17;bre;r1;b4;216;RGS022;101JEN02;101JEN02;74,015
y17;bre;r1;b2;82;RGS023;101JEN03;101JEN03;71,49333333
y17;bre;r1;b2;62;RGS024;101JEN04;101JEN04;74,13
y17;bre;r1;b1;46;RGS025;101JEN05;101JEN05;62,12166667
y17;bre;r1;b1;39;RGS026;101JEN06;101JEN06;67,325
y17;bre;r1;b1;12;RGS027;101JEN07;MER;87,315
y17;bre;r1;b2;69;RGS028;101JEN08;101JEN08;65,35166667
y17;bre;r1;b5;241;RGS029;101JEN09;101JEN09;64,65166667
y17;bre;r1;b3;175;RGS030;101JEN10;101JEN10;66,06666667
y17;bre;r1;b2;64;RGS031;101JEN11;MER;88,36
y17;bre;r1;b1;56;RGS032;101JEN12;101JEN12;66,01
y17;bre;r1;b4;223;RGS033;101ETI01;101ETI01;81,71333333
y17;bre;r1;b4;195;RGS034;101ETI02;101ETI02;62,51866667
y17;bre;r1;b3;162;RGS035;101ETI03;101ETI03;78,74833333
y17;bre;r1;b1;52;RGS036;101ETI04;101ETI04;67,79666667
