year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM;pltb;MT;ZR;NF;RH;HB
y17;bre;b2;118;RGS001;101MER01;101MER01;72,48666667;5;6;61,0;17,9;33,24;618;4;7;1;1;9
y17;bre;b4;211;RGS002;101MER02;101MER02;74,96666667;1;2;65,9;41,8;35,92;711;2;6;1;1;7
y17;bre;b5;265;RGS003;101MER03;101MER03;78,79;2;4;59,8;13,2;33,72;765;3;8;1;1;8
y17;bre;b4;187;RGS004;101MER04;101MER04;72,173;1;4;61,8;5,8;34,68;687;3;6;1;1;8
y17;bre;b4;199;RGS005;101MER05;101MER05;88,83;1;3;61,4;58;37,46;699;3;6;1;1;8
y17;bre;b4;193;RGS006;101MER06;101MER06;69,04666667;8;8;60,5;12,2;33,12;693;4;7;1;1;9
y17;bre;b5;255;RGS007;101MER07;101MER07;68,67833333;1;2;65,1;65,4;38,97;755;3;8;1;1;8
y17;bre;b5;243;RGS008;101MER08;101MER08;69,89166667;1;4;65,0;40,6;33,78;743;3;5;1;1;6
y17;bre;b1;3;RGS009;101MER09;101MER09;79,215;1;1;65,4;40,1;34,05;503;5;7;1;6;6
y17;bre;b4;228;RGS010;101MER10;101MER10;82,25166667;1;1;62,7;38,5;30,86;728;6;4;1;1;9
y17;bre;b5;248;RGS011;101MER11;101MER11;81,10833333;1;2;64,6;72,5;36,05;748;5;3;1;1;4
y17;bre;b5;276;RGS012;101MER12;101MER12;74,965;2;4;62,6;26,3;32,90;776;4;7;1;1;9
y17;bre;b4;234;RGS013;101MER13;101MER13;73,54366667;1;4;62,8;27,6;38,35;734;3;7;1;1;9
y17;bre;b5;249;RGS014;101MER14;101MER14;69,856;1;2;60,0;18,6;32,21;749;2;4;1;1;5
y17;bre;b5;273;RGS015;101MER15;101MER15;72,52833333;1;1;64,7;58;31,73;773;5;6;1;1;8
y17;bre;b5;279;RGS016;101MER16;101MER16;75,27;1;2;64,5;85;39,63;779;3;3;3;1;7
y17;bre;b3;169;RGS017;101MER17;101MER17;80,71366667;1;1;61,0;55,2;38,44;669;4;5;1;1;6
y17;bre;b4;219;RGS018;101MER18;101MER18;75,36166667;1;2;68,1;24,6;31,09;719;3;6;1;5;6
y17;bre;b3;154;RGS019;101MER19;101MER19;67,76033333;1;5;69,1;82,2;42,82;654;4;5;1;1;7
y17;bre;b4;231;RGS020;101QUA01;101QUA01;80,52833333;1;1;67,9;35;34,94;731;4;6;1;1;4
y17;bre;b2;86;RGS021;101JEN01;MER;86,25833333;NA;NA;NA;NA;NA;586;5;3;1;1;6
y17;bre;b4;216;RGS022;101JEN02;101JEN02;74,015;1;2;66,2;54,2;37,68;716;4;6;1;1;6
y17;bre;b2;82;RGS023;101JEN03;101JEN03;71,49333333;1;1;64,0;45,1;36,16;582;4;2;1;1;6
y17;bre;b2;62;RGS024;101JEN04;101JEN04;74,13;1;2;67,2;56,4;35,88;562;7;4;1;1;7
y17;bre;b1;46;RGS025;101JEN05;101JEN05;62,12166667;1;1;64,6;49,5;35,76;546;3;6;1;1;6
y17;bre;b1;39;RGS026;101JEN06;101JEN06;67,325;1;1;67,2;42,6;32,62;539;5;4;1;1;4
y17;bre;b1;12;RGS027;101JEN07;MER;87,315;NA;NA;NA;NA;NA;512;4;6;1;1;6
y17;bre;b2;69;RGS028;101JEN08;101JEN08;65,35166667;1;1;65,7;38,7;35,67;569;5;7;1;1;6
y17;bre;b5;241;RGS029;101JEN09;101JEN09;64,65166667;1;2;65,9;36,6;32,12;741;7;7;1;1;8
y17;bre;b3;175;RGS030;101JEN10;101JEN10;66,06666667;1;1;61,0;17,5;34,12;675;4;7;1;1;5
y17;bre;b2;64;RGS031;101JEN11;MER;88,36;NA;NA;NA;NA;NA;564;2;4;1;1;9
y17;bre;b1;56;RGS032;101JEN12;101JEN12;66,01;1;1;65,7;35,6;33,98;556;5;8;1;1;8
