year;loc;rep;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld
y17;lim;r1;b1;1;2;1;RGS188;D37OTT01;MER;85,55555556
y17;lim;r1;b1;2;3;1;RGS167;D37QUA17;D37QUA17;86,98412698
y17;lim;r1;b1;3;4;1;RGS242;ANTETI14;ANTETI14;91,58730159
y17;lim;r1;b1;4;5;1;RGS120;D33MER20;D33MER20;82,6984127
y17;lim;r1;b1;5;6;1;RGS258;ETI;ETI;96,66666667
y17;lim;r1;b1;6;7;1;RGS194;D37OTT07;D37OTT07;83,96825397
y17;lim;r1;b1;7;8;1;RGS189;D37OTT02;D37OTT02;95,87301587
y17;lim;r1;b1;8;9;1;RGS149;D33ETI19;D33ETI19;95,23809524
y17;lim;r1;b1;9;10;1;RGS032;101JEN12;101JEN12;90,79365079
y17;lim;r1;b1;10;11;1;RGS037;101ETI05;101ETI05;81,58730159
y17;lim;r1;b1;11;12;1;RGS254;D37;D37;55,71428571
y17;lim;r1;b1;12;13;1;RGS123;D33QUA01;D33QUA01;94,12698413
y17;lim;r1;b1;13;14;1;RGS209;ANTMER09;ANTMER09;103,015873
y17;lim;r1;b1;14;15;1;RGS121;D33MER21;D33MER21;100
y17;lim;r1;b1;15;16;1;RGS176;D37QUA26;D37QUA26;83,33333333
y17;lim;r1;b1;16;17;1;RGS238;ANTETI10;ANTETI10;98,41269841
y17;lim;r1;b1;17;18;1;RGS252;146;146;79,36507937
y17;lim;r1;b1;18;19;1;RGS015;101MER15;101MER15;76,98412698
y17;lim;r1;b1;19;20;1;RGS221;ANTQUA05;ANTQUA05;NA
y17;lim;r1;b1;20;21;1;RGS014;101MER14;101MER14;NA
y17;lim;r1;b1;21;22;1;RGS239;ANTETI11;ANTETI11;97,93650794
y17;lim;r1;b1;22;23;1;RGS107;D33MER07;D33MER07;98,0952381
y17;lim;r1;b1;23;24;1;RGS256;ANT;ANT;105,0793651
y17;lim;r1;b1;24;25;1;RGS135;D33ETI05;D33ETI05;94,6031746
y17;lim;r1;b1;25;26;1;RGS113;D33MER13;D33MER13;90,47619048
y17;lim;r1;b1;26;27;1;RGS245;ANTETI17;ANTETI17;93,80952381
y17;lim;r1;b1;27;28;1;RGS139;D33ETI09;MER;95,23809524
y17;lim;r1;b1;28;29;1;RGS075;146JEN05;146JEN05;76,82539683
y17;lim;r1;b1;29;30;1;RGS260;QUA;QUA;100,1587302
y17;lim;r1;b1;30;31;1;RGS095;146OTT05;146OTT05;77,46031746
y17;lim;r1;b1;31;31;2;RGS009;101MER09;101MER09;89,04761905
y17;lim;r1;b1;32;30;2;RGS012;101MER12;101MER12;77,46031746
y17;lim;r1;b1;33;29;2;RGS076;146JEN06;146JEN06;76,50793651
y17;lim;r1;b1;34;28;2;RGS142;D33ETI12;D33ETI12;93,65079365
y17;lim;r1;b1;35;27;2;RGS255;OTT;OTT;94,12698413
y17;lim;r1;b1;36;26;2;RGS064;146QUA04;146QUA04;76,66666667
y17;lim;r1;b1;37;25;2;RGS216;ANTMER16;ANTMER16;96,50793651
y17;lim;r1;b1;38;24;2;RGS218;ANTQUA02;ANTQUA02;105,7142857
y17;lim;r1;b1;39;23;2;RGS098;146OTT08;146OTT08;70,63492063
y17;lim;r1;b1;40;22;2;RGS055;146MER05;146MER05;89,36507937
y17;lim;r1;b1;41;21;2;RGS251;101;101;81,26984127
y17;lim;r1;b1;42;20;2;RGS240;ANTETI12;ANTETI12;79,36507937
y17;lim;r1;b1;43;19;2;RGS192;D37OTT05;D37OTT05;81,26984127
y17;lim;r1;b1;44;18;2;RGS059;146MER09;146MER09;82,22222222
y17;lim;r1;b1;45;17;2;RGS111;D33MER11;D33MER11;90,79365079
y17;lim;r1;b1;46;16;2;RGS152;D37QUA02;D37QUA02;71,42857143
y17;lim;r1;b1;47;15;2;RGS257;MER;MER;100
y17;lim;r1;b1;48;14;2;RGS077;146JEN07;146JEN07;73,17460317
y17;lim;r1;b1;49;13;2;RGS072;146JEN02;146JEN02;86,03174603
y17;lim;r1;b1;50;12;2;RGS052;146MER02;146MER02;91,11111111
y17;lim;r1;b1;51;11;2;RGS049;101OTT06;MER;97,14285714
y17;lim;r1;b1;52;10;2;RGS230;ANTETI02;ANTETI02;85,87301587
y17;lim;r1;b1;53;9;2;RGS259;JEN;JEN;97,3015873
y17;lim;r1;b1;54;8;2;RGS231;ANTETI03;ANTETI03;85,23809524
y17;lim;r1;b1;55;7;2;RGS117;D33MER17;D33MER17;90
y17;lim;r1;b1;56;6;2;RGS237;ANTETI09;ANTETI09;87,77777778
y17;lim;r1;b1;57;5;2;RGS170;D37QUA20;D37QUA20;74,12698413
y17;lim;r1;b1;58;4;2;RGS125;D33QUA03;D33QUA03;86,98412698
y17;lim;r1;b1;59;3;2;RGS253;D33;D33;81,26984127
y17;lim;r1;b1;60;2;2;RGS083;146ETI06;146ETI06;79,20634921
y17;lim;r1;b2;101;2;3;RGS105;D33MER05;D33MER05;85,23809524
y17;lim;r1;b2;102;3;3;RGS166;D37QUA16;D37QUA16;73,80952381
y17;lim;r1;b2;103;4;3;RGS079;146ETI02;146ETI02;63,49206349
y17;lim;r1;b2;104;5;3;RGS197;D37OTT10;D37OTT10;79,36507937
y17;lim;r1;b2;105;6;3;RGS260;QUA;QUA;95,23809524
y17;lim;r1;b2;106;7;3;RGS248;ANTOTT02;ANTOTT02;79,36507937
y17;lim;r1;b2;107;8;3;RGS106;D33MER06;D33MER06;78,25396825
y17;lim;r1;b2;108;9;3;RGS001;101MER01;101MER01;78,57142857
y17;lim;r1;b2;109;10;3;RGS103;D33MER03;D33MER03;88,0952381
y17;lim;r1;b2;110;11;3;RGS156;D37QUA06;D37QUA06;72,22222222
y17;lim;r1;b2;111;12;3;RGS256;ANT;ANT;87,3015873
y17;lim;r1;b2;112;13;3;RGS051;146MER01;146MER01;79,52380952
y17;lim;r1;b2;113;14;3;RGS229;ANTETI01;ANTETI01;79,84126984
y17;lim;r1;b2;114;15;3;RGS019;101MER19;101MER19;68,25396825
y17;lim;r1;b2;115;16;3;RGS084;146ETI07;146ETI07;73,96825397
y17;lim;r1;b2;116;17;3;RGS023;101JEN03;101JEN03;84,44444444
y17;lim;r1;b2;117;18;3;RGS254;D37;D37;67,3015873
y17;lim;r1;b2;118;19;3;RGS061;146QUA01;146QUA01;76,50793651
y17;lim;r1;b2;119;20;3;RGS007;101MER07;101MER07;77,61904762
y17;lim;r1;b2;120;21;3;RGS145;D33ETI15;MER;85,87301587
y17;lim;r1;b2;121;22;3;RGS249;ANTOTT03;ANTOTT03;79,36507937
y17;lim;r1;b2;122;23;3;RGS136;D33ETI06;D33ETI06;77,61904762
y17;lim;r1;b2;123;24;3;RGS258;ETI;ETI;90,47619048
y17;lim;r1;b2;124;25;3;RGS225;ANTQUA09;ANTQUA09;90,15873016
y17;lim;r1;b2;125;26;3;RGS031;101JEN11;101JEN11;75,87301587
y17;lim;r1;b2;126;27;3;RGS042;101ETI10;101ETI10;66,66666667
y17;lim;r1;b2;127;28;3;RGS220;ANTQUA04;ANTQUA04;90
y17;lim;r1;b2;128;29;3;RGS067;146QUA07;146QUA07;85,07936508
y17;lim;r1;b2;129;30;3;RGS252;146;146;70,47619048
y17;lim;r1;b2;130;31;3;RGS146;D33ETI16;D33ETI16;86,50793651
y17;lim;r1;b2;131;31;4;RGS091;146OTT01;146OTT01;80,79365079
y17;lim;r1;b2;132;30;4;RGS016;101MER16;101MER16;92,06349206
y17;lim;r1;b2;133;29;4;RGS063;146QUA03;146QUA03;71,58730159
y17;lim;r1;b2;134;28;4;RGS068;146QUA08;146QUA08;72,53968254
y17;lim;r1;b2;135;27;4;RGS257;MER;MER;96,50793651
y17;lim;r1;b2;136;26;4;RGS040;101ETI08;101ETI08;88,88888889
y17;lim;r1;b2;137;25;4;RGS041;101ETI09;101ETI09;78,73015873
y17;lim;r1;b2;138;24;4;RGS036;101ETI04;101ETI04;80,95238095
y17;lim;r1;b2;139;23;4;RGS088;146ETI12;146ETI12;73,01587302
y17;lim;r1;b2;140;22;4;RGS110;D33MER10;D33MER10;98,57142857
y17;lim;r1;b2;141;21;4;RGS253;D33;D33;82,85714286
y17;lim;r1;b2;142;20;4;RGS205;ANTMER05;ANTMER05;92,38095238
y17;lim;r1;b2;143;19;4;RGS112;D33MER12;D33MER12;88,57142857
y17;lim;r1;b2;144;18;4;RGS045;101ETI13;101ETI13;69,36507937
y17;lim;r1;b2;145;17;4;RGS157;D37QUA07;D37QUA07;84,92063492
y17;lim;r1;b2;146;16;4;RGS181;D37QUA31;D37QUA31;92,38095238
y17;lim;r1;b2;147;15;4;RGS259;JEN;JEN;100,7936508
y17;lim;r1;b2;148;14;4;RGS201;ANTMER01;ANTMER01;95,55555556
y17;lim;r1;b2;149;13;4;RGS202;ANTMER02;ANTMER02;99,36507937
y17;lim;r1;b2;150;12;4;RGS029;101JEN09;101JEN09;72,6984127
y17;lim;r1;b2;151;11;4;RGS180;D37QUA30;MER;100
y17;lim;r1;b2;152;10;4;RGS030;101JEN10;101JEN10;71,11111111
