year;loc;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld;Lager1;Lager2;Lager;HLG;Fraktion;TKM;pltb;MT;ZR
y17;lim;b2;108;9;3;RGS001;101MER01;101MER01;78,57142857;6;8;8;61,8;26,4;32,8;1;1;7
y17;lim;b5;438;24;10;RGS002;101MER02;101MER02;95,55555556;3;3;4;64,9;47,6;33,2;2;1;4
y17;lim;b3;213;14;5;RGS003;101MER03;101MER03;70,95238095;6;7;8;59,1;38,2;31,2;3;1;6
y17;lim;b3;239;23;6;RGS004;101MER04;101MER04;87,14285714;4;5;4;61;20,7;29,9;4;1;6
y17;lim;b4;328;29;7;RGS005;101MER05;101MER05;85,55555556;3;5;6;59,5;54,9;33,9;5;1;3
y17;lim;b5;452;10;10;RGS006;101MER06;101MER06;64,76190476;8;9;9;60,6;32,4;30,8;6;1;7
y17;lim;b2;119;20;3;RGS007;101MER07;101MER07;77,61904762;1;1;2;64,5;56;33,1;7;1;5
y17;lim;b3;209;10;5;RGS008;101MER08;101MER08;86,03174603;7;7;7;59,1;33;28,9;8;1;4
y17;lim;b1;31;31;2;RGS009;101MER09;101MER09;89,04761905;1;1;1;68,4;41,6;31,9;9;3;3
y17;lim;b3;210;11;5;RGS010;101MER10;101MER10;80,63492063;1;2;5;60,6;40,7;30,2;10;2;3
y17;lim;b4;355;7;8;RGS011;101MER11;101MER11;100,6349206;1;1;2;66,5;75,6;36;11;2;2
y17;lim;b1;32;30;2;RGS012;101MER12;101MER12;77,46031746;6;8;8;61,8;42,3;31,3;12;1;3
y17;lim;b2;156;6;4;RGS013;101MER13;101MER13;75,3968254;4;6;5;65,3;62,6;38,6;13;1;3
y17;lim;b1;20;21;1;RGS014;101MER14;101MER14;NA;1;7;6;61,4;26,4;29,4;14;2;3
y17;lim;b1;18;19;1;RGS015;101MER15;101MER15;76,98412698;1;1;2;70;80,8;35,2;15;1;3
y17;lim;b2;132;30;4;RGS016;101MER16;101MER16;92,06349206;1;1;2;66,5;89,7;41,2;16;1;2
y17;lim;b5;436;26;10;RGS017;101MER17;101MER17;82,85714286;5;7;8;58,7;55,4;33,7;17;2;3
y17;lim;b4;302;3;7;RGS018;101MER18;101MER18;71,42857143;1;1;3;63,4;34,1;29,3;18;2;4
y17;lim;b2;114;15;3;RGS019;101MER19;101MER19;68,25396825;1;1;4;64,9;56,1;31,1;19;1;2
y17;lim;b3;240;22;6;RGS020;101QUA01;101QUA01;74,6031746;1;1;1;69,2;52,9;35,1;20;1;3
y17;lim;b3;219;20;5;RGS021;101JEN01;101JEN01;95,3968254;1;2;3;65,7;66,3;40,7;21;2;3
y17;lim;b4;332;30;8;RGS022;101JEN02;MER;95,23809524;1;1;1;66,5;95,1;45,2;22;2;5
y17;lim;b2;116;17;3;RGS023;101JEN03;101JEN03;84,44444444;1;1;2;64,5;55,2;37,9;23;1;3
y17;lim;b3;204;5;5;RGS024;101JEN04;101JEN04;72,53968254;1;1;2;63,4;35,7;34,7;24;5;3
y17;lim;b3;238;24;6;RGS025;101JEN05;101JEN05;77,61904762;1;1;2;62,9;24,2;36;25;3;3
y17;lim;b4;340;22;8;RGS026;101JEN06;101JEN06;91,26984127;1;1;1;66,5;47,4;34,2;26;2;2
y17;lim;b4;350;12;8;RGS027;101JEN07;101JEN07;84,92063492;5;7;6;64,5;70,6;43,1;27;2;3
y17;lim;b5;426;27;9;RGS028;101JEN08;101JEN08;92,06349206;1;1;2;65,7;29,8;33,6;28;2;4
y17;lim;b2;150;12;4;RGS029;101JEN09;101JEN09;72,6984127;1;1;3;63,8;41,1;32,6;29;5;4
y17;lim;b2;152;10;4;RGS030;101JEN10;101JEN10;71,11111111;2;3;2;60,3;43,7;36,9;30;2;4
y17;lim;b2;125;26;3;RGS031;101JEN11;101JEN11;75,87301587;1;1;3;66,9;24,1;32,1;31;1;2
y17;lim;b1;9;10;1;RGS032;101JEN12;101JEN12;90,79365079;1;1;1;64,2;29,2;32,6;32;4;3
y17;lim;b5;401;2;9;RGS033;101ETI01;101ETI01;71,58730159;5;7;8;59,9;32,9;27,3;33;2;3
y17;lim;b3;249;13;6;RGS034;101ETI02;101ETI02;72,22222222;8;7;8;58,3;22;25,7;34;1;3
y17;lim;b5;450;12;10;RGS035;101ETI03;101ETI03;58,73015873;8;8;8;57,5;17,9;25,4;35;2;6
y17;lim;b2;138;24;4;RGS036;101ETI04;101ETI04;80,95238095;1;1;4;60,3;28;67,7;36;2;6
y17;lim;b1;10;11;1;RGS037;101ETI05;101ETI05;81,58730159;1;1;1;63,8;31,1;65,7;37;1;5
y17;lim;b3;251;11;6;RGS038;101ETI06;101ETI06;83,33333333;3;6;7;56,7;20;26;38;2;5
y17;lim;b4;310;11;7;RGS039;101ETI07;101ETI07;92,6984127;1;1;1;66,5;62,2;35;39;3;4
y17;lim;b2;136;26;4;RGS040;101ETI08;101ETI08;88,88888889;1;1;3;64,9;53,6;34,2;40;3;4
