year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM
y17;syn;b1;1;RGS177;D37QUA27;D37QUA27;98,39;3;5;65,1;90,65535852;49,52
y17;syn;b1;2;RGS223;ANTQUA07;ANTQUA07;109,69;1;7;65,3;91,15752668;46,22
y17;syn;b1;3;RGS190;D37OTT03;D37OTT03;102,59;2;5;66,2;90,03786285;45,2
y17;syn;b1;4;RGS241;ANTETI13;ANTETI13;101,97;1;6;63,8;80,59294449;41,38
y17;syn;b1;5;RGS260;QUA;QUA;118,31;1;3;67,2;91,57989362;50,36
y17;syn;b1;6;RGS246;ANTETI18;ANTETI18;99,7;1;8;62,8;81,15008713;37,39
y17;syn;b1;7;RGS028;101JEN08;MER;116,47;1;4;68,2;94,37935844;49,86
y17;syn;b1;8;RGS095;146OTT05;146OTT05;94,32;1;5;65,7;24,07108239;28,27
y17;syn;b1;9;RGS099;146OTT09;146OTT09;98,48;1;4;62,9;28,50587667;33,31
y17;syn;b1;10;RGS151;D37QUA01;D37QUA01;92,44;2;8;64,2;75,23516484;41,86
y17;syn;b1;11;RGS258;ETI;ETI;108,03;1;8;65,8;88,61926717;41,32
y17;syn;b1;12;RGS167;D37QUA17;D37QUA17;108,68;3;6;65,6;83,02594092;43,61
y17;syn;b1;13;RGS127;D33QUA05;MER;110,19;1;4;67,6;96,86542541;50,76
y17;syn;b1;14;RGS120;D33MER20;D33MER20;95,29;2;8;64,9;74,33249178;40,36
y17;syn;b1;15;RGS199;D37OTT12;D37OTT12;117,83;1;4;68,1;95,79774253;49,48
y17;syn;b1;16;RGS153;D37QUA03;D37QUA03;96,15;5;6;64,6;80,92725819;45,01
y17;syn;b1;17;RGS256;ANT;ANT;113,47;1;3;63,3;89,89859288;45,32
y17;syn;b1;18;RGS094;146OTT04;146OTT04;97,62;2;5;61,9;19,94699042;29,52
y17;syn;b1;19;RGS250;ANTOTT04;ANTOTT04;115,22;1;5;63,3;93,16256354;46,8
y17;syn;b1;20;RGS171;D37QUA21;D37QUA21;100,27;5;5;66,4;83,97080292;43,81
y17;syn;b1;21;RGS150;D33ETI20;MER;103,9;1;3;68,1;96,00477933;50,41
y17;syn;b1;22;RGS084;146ETI07;146ETI07;63,77;8;8;68,2;72,24914481;38,84
