year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;wvb;r1;b1;1;RGS244;ANTETI16;MER;95,65217391
y17;wvb;r1;b1;2;RGS016;101MER16;101MER16;81,73913043
y17;wvb;r1;b1;3;RGS115;D33MER15;D33MER15;101,4492754
y17;wvb;r1;b1;4;RGS153;D37QUA03;MER;87,53623188
y17;wvb;r1;b1;5;RGS256;ANT;ANT;70,72463768
y17;wvb;r1;b1;6;RGS166;D37QUA16;D37QUA16;73,62318841
y17;wvb;r1;b1;7;RGS172;D37QUA22;D37QUA22;96,23188406
y17;wvb;r1;b1;8;RGS004;101MER04;101MER04;83,47826087
y17;wvb;r1;b1;9;RGS171;D37QUA21;D37QUA21;86,37681159
y17;wvb;r1;b1;10;RGS087;146ETI10;146ETI10;57,97101449
y17;wvb;r1;b1;11;RGS252;146;146;91,5942029
y17;wvb;r1;b1;12;RGS234;ANTETI06;ANTETI06;88,69565217
y17;wvb;r1;b1;13;RGS027;101JEN07;101JEN07;66,08695652
y17;wvb;r1;b1;14;RGS151;D37QUA01;MER;97,97101449
y17;wvb;r1;b1;15;RGS063;146QUA03;146QUA03;56,8115942
y17;wvb;r1;b1;16;RGS059;146MER09;146MER09;78,84057971
y17;wvb;r1;b1;17;RGS258;ETI;ETI;86,37681159
y17;wvb;r1;b1;18;RGS075;146JEN05;MER;85,2173913
y17;wvb;r1;b1;19;RGS097;146OTT07;146OTT07;62,60869565
y17;wvb;r1;b1;20;RGS168;D37QUA18;MER;85,2173913
y17;wvb;r1;b1;21;RGS183;D37QUA33;D37QUA33;81,15942029
y17;wvb;r1;b1;22;RGS162;D37QUA12;D37QUA12;93,91304348
y17;wvb;r1;b1;23;RGS260;QUA;QUA;71,30434783
y17;wvb;r1;b1;24;RGS028;101JEN08;MER;92,17391304
y17;wvb;r1;b1;25;RGS058;146MER08;146MER08;55,65217391
y17;wvb;r1;b1;26;RGS179;D37QUA29;D37QUA29;97,97101449
y17;wvb;r1;b1;27;RGS197;D37OTT10;D37OTT10;80,57971014
y17;wvb;r1;b1;28;RGS180;D37QUA30;D37QUA30;78,26086957
y17;wvb;r1;b1;29;RGS254;D37;D37;60,28985507
y17;wvb;r1;b1;30;RGS216;ANTMER16;ANTMER16;84,05797101
y17;wvb;r1;b1;31;RGS163;D37QUA13;D37QUA13;98,55072464
y17;wvb;r1;b1;32;RGS041;101ETI09;101ETI09;57,97101449
y17;wvb;r1;b1;33;RGS060;146MER10;146MER10;70,14492754
y17;wvb;r1;b1;34;RGS246;ANTETI18;MER;68,4057971
y17;wvb;r1;b1;35;RGS259;JEN;JEN;98,55072464
y17;wvb;r1;b1;36;RGS076;146JEN06;146JEN06;67,24637681
y17;wvb;r1;b1;37;RGS239;ANTETI11;ANTETI11;97,97101449
y17;wvb;r1;b1;38;RGS214;ANTMER14;ANTMER14;76,52173913
y17;wvb;r1;b1;39;RGS101;D33MER01;D33MER01;77,68115942
y17;wvb;r1;b1;40;RGS249;ANTOTT03;ANTOTT03;71,88405797
y17;wvb;r1;b1;41;RGS255;OTT;OTT;91,01449275
y17;wvb;r1;b1;42;RGS202;ANTMER02;ANTMER02;92,17391304
y17;wvb;r1;b1;43;RGS080;146ETI03;146ETI03;63,1884058
y17;wvb;r1;b1;44;RGS204;ANTMER04;ANTMER04;82,31884058
y17;wvb;r1;b1;45;RGS135;D33ETI05;D33ETI05;52,17391304
y17;wvb;r1;b1;46;RGS081;146ETI04;146ETI04;62,60869565
y17;wvb;r1;b1;47;RGS253;D33;D33;98,55072464
y17;wvb;r1;b1;48;RGS086;146ETI09;146ETI09;88,11594203
y17;wvb;r1;b1;49;RGS107;D33MER07;MER;81,15942029
y17;wvb;r1;b1;50;RGS084;146ETI07;146ETI07;64,34782609
y17;wvb;r1;b1;51;RGS031;101JEN11;101JEN11;80
y17;wvb;r1;b1;52;RGS182;D37QUA32;D37QUA32;82,31884058
y17;wvb;r1;b1;53;RGS257;MER;MER;69,56521739
y17;wvb;r1;b1;54;RGS189;D37OTT02;D37OTT02;87,53623188
y17;wvb;r1;b1;55;RGS175;D37QUA25;D37QUA25;98,55072464
y17;wvb;r1;b1;56;RGS121;D33MER21;D33MER21;82,31884058
y17;wvb;r1;b1;57;RGS044;101ETI12;101ETI12;101,4492754
y17;wvb;r1;b1;58;RGS193;D37OTT06;MER;76,52173913
y17;wvb;r1;b1;59;RGS251;101;101;74,7826087
y17;wvb;r1;b1;60;RGS026;101JEN06;101JEN06;88,69565217
y17;wvb;r1;b2;61;RGS243;ANTETI15;ANTETI15;81,15942029
y17;wvb;r1;b2;62;RGS048;101OTT05;101OTT05;82,31884058
y17;wvb;r1;b2;63;RGS094;146OTT04;146OTT04;66,08695652
y17;wvb;r1;b2;64;RGS071;146JEN01;146JEN01;102,6086957
y17;wvb;r1;b2;65;RGS252;146;146;88,69565217
y17;wvb;r1;b2;66;RGS176;D37QUA26;D37QUA26;99,42028986
y17;wvb;r1;b2;67;RGS061;146QUA01;146QUA01;68,4057971
y17;wvb;r1;b2;68;RGS229;ANTETI01;ANTETI01;82,31884058
y17;wvb;r1;b2;69;RGS223;ANTQUA07;ANTQUA07;90,72463768
y17;wvb;r1;b2;70;RGS023;101JEN03;101JEN03;89,27536232
y17;wvb;r1;b2;71;RGS258;ETI;ETI;67,24637681
y17;wvb;r1;b2;72;RGS230;ANTETI02;ANTETI02;97,39130435
y17;wvb;r1;b2;73;RGS051;146MER01;146MER01;87,53623188
y17;wvb;r1;b2;74;RGS205;ANTMER05;ANTMER05;59,71014493
y17;wvb;r1;b2;75;RGS012;101MER12;101MER12;101,4492754
y17;wvb;r1;b2;76;RGS131;D33ETI01;D33ETI01;88,11594203
y17;wvb;r1;b2;77;RGS254;D37;D37;98,26086957
y17;wvb;r1;b2;78;RGS089;146ETI13;146ETI13;92,75362319
y17;wvb;r1;b2;79;RGS070;146QUA10;146QUA10;75,94202899
y17;wvb;r1;b2;80;RGS022;101JEN02;MER;81,73913043
y17;wvb;r1;b2;81;RGS093;146OTT03;146OTT03;81,15942029
y17;wvb;r1;b2;82;RGS088;146ETI12;146ETI12;80,57971014
y17;wvb;r1;b2;83;RGS256;ANT;ANT;105,7971014
y17;wvb;r1;b2;84;RGS145;D33ETI15;D33ETI15;77,10144928
y17;wvb;r1;b2;85;RGS096;146OTT06;146OTT06;74,7826087
y17;wvb;r1;b2;86;RGS062;146QUA02;146QUA02;81,73913043
y17;wvb;r1;b2;87;RGS149;D33ETI19;D33ETI19;88,69565217
y17;wvb;r1;b2;88;RGS079;146ETI02;146ETI02;91,01449275
y17;wvb;r1;b2;89;RGS260;QUA;QUA;80
y17;wvb;r1;b2;90;RGS095;146OTT05;146OTT05;72,46376812
y17;wvb;r1;b2;91;RGS134;D33ETI04;D33ETI04;72,46376812
y17;wvb;r1;b2;92;RGS118;D33MER18;MER;78,84057971
y17;wvb;r1;b2;93;RGS218;ANTQUA02;ANTQUA02;78,26086957
y17;wvb;r1;b2;94;RGS039;101ETI07;101ETI07;74,7826087
y17;wvb;r1;b2;95;RGS255;OTT;OTT;65,50724638
y17;wvb;r1;b2;96;RGS047;101OTT04;MER;104,3478261
y17;wvb;r1;b2;97;RGS215;ANTMER15;ANTMER15;73,62318841
y17;wvb;r1;b2;98;RGS161;D37QUA11;D37QUA11;77,68115942
y17;wvb;r1;b2;99;RGS174;D37QUA24;MER;84,63768116
y17;wvb;r1;b2;100;RGS233;ANTETI05;ANTETI05;87,53623188
y17;wvb;r1;b2;101;RGS251;101;MER;68,4057971
y17;wvb;r1;b2;102;RGS160;D37QUA10;D37QUA10;59,13043478
y17;wvb;r1;b2;103;RGS120;D33MER20;D33MER20;96,8115942
y17;wvb;r1;b2;104;RGS111;D33MER11;D33MER11;66,66666667
y17;wvb;r1;b2;105;RGS105;D33MER05;D33MER05;100,2898551
y17;wvb;r1;b2;106;RGS119;D33MER19;D33MER19;65,50724638
y17;wvb;r1;b2;107;RGS259;JEN;JEN;90,43478261
y17;wvb;r1;b2;108;RGS126;D33QUA04;D33QUA04;91,5942029
y17;wvb;r1;b2;109;RGS108;D33MER08;D33MER08;59,71014493
y17;wvb;r1;b2;110;RGS190;D37OTT03;D37OTT03;66,66666667
