year;loc;blk;plt;pgl;genPlan;gen;yld;HLG;Fraktion;TKM;MT;ZR
y17;wvb;b1;1;RGS244;ANTETI16;MER;95,65217391;68;89;43;3;2
y17;wvb;b1;2;RGS016;101MER16;101MER16;81,73913043;64,6;70,9;36,4;4;2
y17;wvb;b1;3;RGS115;D33MER15;D33MER15;101,4492754;58,6;28,6;30,9;3;5
y17;wvb;b1;4;RGS153;D37QUA03;MER;87,53623188;68,1;86,7;41,7;5;5
y17;wvb;b1;5;RGS256;ANT;ANT;70,72463768;62,9;76,2;37;2;4
y17;wvb;b1;6;RGS166;D37QUA16;D37QUA16;73,62318841;65,2;61,4;35,4;2;9
y17;wvb;b1;7;RGS172;D37QUA22;D37QUA22;96,23188406;63,3;52,2;33,2;4;9
y17;wvb;b1;8;RGS004;101MER04;101MER04;83,47826087;60,9;12,3;26,8;2;2
y17;wvb;b1;9;RGS171;D37QUA21;D37QUA21;86,37681159;67,3;55,3;34,1;4;5
y17;wvb;b1;10;RGS087;146ETI10;146ETI10;57,97101449;61,8;52,2;30,4;3;5
y17;wvb;b1;11;RGS252;146;146;91,5942029;65,8;33,7;28,2;6;2
y17;wvb;b1;12;RGS234;ANTETI06;ANTETI06;88,69565217;62,8;70,2;37,5;6;2
y17;wvb;b1;13;RGS027;101JEN07;101JEN07;66,08695652;62,3;33,3;33,8;3;7
y17;wvb;b1;14;RGS151;D37QUA01;MER;97,97101449;68,1;87,2;41,9;2;4
y17;wvb;b1;15;RGS063;146QUA03;146QUA03;56,8115942;62,4;31,2;27,2;4;6
y17;wvb;b1;16;RGS059;146MER09;146MER09;78,84057971;66,3;85,6;41,2;4;5
y17;wvb;b1;17;RGS258;ETI;ETI;86,37681159;65,7;74,7;38,1;4;3
y17;wvb;b1;18;RGS075;146JEN05;MER;85,2173913;65,4;84,3;42,2;6;6
y17;wvb;b1;19;RGS097;146OTT07;146OTT07;62,60869565;55,5;31,2;30,6;6;3
y17;wvb;b1;20;RGS168;D37QUA18;MER;85,2173913;66,2;85,9;42,5;6;6
y17;wvb;b1;21;RGS183;D37QUA33;D37QUA33;81,15942029;70,1;88;43,9;5;7
y17;wvb;b1;22;RGS162;D37QUA12;D37QUA12;93,91304348;51,5;4,5;20;6;8
y17;wvb;b1;23;RGS260;QUA;QUA;71,30434783;67,5;79,3;43,6;3;3
y17;wvb;b1;24;RGS028;101JEN08;MER;92,17391304;67,5;89,2;42,9;7;7
y17;wvb;b1;25;RGS058;146MER08;146MER08;55,65217391;61,8;63,6;34,8;4;2
y17;wvb;b1;26;RGS179;D37QUA29;D37QUA29;97,97101449;66,7;86,2;45,3;3;3
y17;wvb;b1;27;RGS197;D37OTT10;D37OTT10;80,57971014;64,7;78,2;42,9;3;7
y17;wvb;b1;28;RGS180;D37QUA30;D37QUA30;78,26086957;61,8;77,6;45,5;3;5
y17;wvb;b1;29;RGS254;D37;D37;60,28985507;57,9;72,6;39,2;3;3
y17;wvb;b1;30;RGS216;ANTMER16;ANTMER16;84,05797101;64,1;85,8;41,1;2;5
y17;wvb;b1;31;RGS163;D37QUA13;D37QUA13;98,55072464;61,8;67,6;35,6;8;5
y17;wvb;b1;32;RGS041;101ETI09;101ETI09;57,97101449;63,5;49,8;33,5;6;2
y17;wvb;b1;33;RGS060;146MER10;146MER10;70,14492754;62,2;47,2;30,7;3;5
y17;wvb;b1;34;RGS246;ANTETI18;MER;68,4057971;66,7;87,8;43,5;3;7
y17;wvb;b1;35;RGS259;JEN;JEN;98,55072464;60,2;43,8;34,4;3;3
y17;wvb;b1;36;RGS076;146JEN06;146JEN06;67,24637681;59,2;11,9;26,6;2;2
y17;wvb;b1;37;RGS239;ANTETI11;ANTETI11;97,97101449;59,5;51;31,6;5;7
y17;wvb;b1;38;RGS214;ANTMER14;ANTMER14;76,52173913;64,4;78,3;39,4;3;5
y17;wvb;b1;39;RGS101;D33MER01;D33MER01;77,68115942;62,1;55,2;35,7;7;7
y17;wvb;b1;40;RGS249;ANTOTT03;ANTOTT03;71,88405797;61,2;56,4;33,2;5;3
y17;wvb;b1;41;RGS255;OTT;OTT;91,01449275;60,7;55,5;35,6;7;3
y17;wvb;b1;42;RGS202;ANTMER02;ANTMER02;92,17391304;65,9;62,4;34,2;4;7
y17;wvb;b1;43;RGS080;146ETI03;146ETI03;63,1884058;60,8;36,6;25,3;3;5
y17;wvb;b1;44;RGS204;ANTMER04;ANTMER04;82,31884058;64,6;84,3;38,5;3;4
y17;wvb;b1;45;RGS135;D33ETI05;D33ETI05;52,17391304;62,8;60;36,4;4;6
y17;wvb;b1;46;RGS081;146ETI04;146ETI04;62,60869565;60,6;51,3;35,6;3;7
y17;wvb;b1;47;RGS253;D33;D33;98,55072464;65,5;63,7;36,2;9;2
y17;wvb;b1;48;RGS086;146ETI09;146ETI09;88,11594203;60,2;26,8;26,5;6;2
y17;wvb;b1;49;RGS107;D33MER07;MER;81,15942029;68,2;85,2;40,7;7;3
y17;wvb;b1;50;RGS084;146ETI07;146ETI07;64,34782609;64,8;56,5;36;7;3
y17;wvb;b1;51;RGS031;101JEN11;101JEN11;80;56,5;9,9;23;3;3
y17;wvb;b1;52;RGS182;D37QUA32;D37QUA32;82,31884058;69,2;80,7;41,4;5;6
y17;wvb;b1;53;RGS257;MER;MER;69,56521739;67,1;81,6;40,1;1;1
y17;wvb;b1;54;RGS189;D37OTT02;D37OTT02;87,53623188;60,6;67,9;33;6;7
y17;wvb;b1;55;RGS175;D37QUA25;D37QUA25;98,55072464;69,2;79,5;39,1;5;7
y17;wvb;b1;56;RGS121;D33MER21;D33MER21;82,31884058;66,4;88;43,8;4;5
y17;wvb;b1;57;RGS044;101ETI12;101ETI12;101,4492754;52;3,6;19,8;7;5
y17;wvb;b1;58;RGS193;D37OTT06;MER;76,52173913;67;81,6;40,2;7;4
