year;loc;rep;blk;plt;pgl;gen;yld
y18;ack;r1;b5;297;RGS001;101MER01;NA
y18;ack;r1;b5;294;RGS002;101MER02;89,39
y18;ack;r1;b5;286;RGS003;101MER03;90,18
y18;ack;r1;b4;210;RGS004;101MER04;76,93
y18;ack;r1;b3;150;RGS005;101MER05;81,49
y18;ack;r1;b5;280;RGS006;101MER06;82,98
y18;ack;r1;b2;76;RGS007;101MER07;82,81
y18;ack;r1;b2;61;RGS008;101MER08;76,67
y18;ack;r1;b4;228;RGS009;101MER09;80,09
y18;ack;r1;b2;96;RGS010;101MER10;83,6
y18;ack;r1;b5;295;RGS011;101MER11;96,14
y18;ack;r1;b1;52;RGS012;101MER12;78,68
y18;ack;r1;b4;188;RGS013;101MER13;81,05
y18;ack;r1;b2;105;RGS014;101MER14;95,7
y18;ack;r1;b3;178;RGS015;101MER15;71,67
y18;ack;r1;b2;64;RGS016;101MER16;83,25
y18;ack;r1;b2;82;RGS017;101MER17;88,51
y18;ack;r1;b3;159;RGS018;101MER18;77,81
y18;ack;r1;b5;300;RGS019;101MER19;73,33
y18;ack;r1;b4;184;RGS020;101QUA01;67,11
y18;ack;r1;b1;16;RGS021;101JEN01;97,72
y18;ack;r1;b4;238;RGS022;101JEN02;73,77
y18;ack;r1;b1;4;RGS023;101JEN03;89,65
y18;ack;r1;b1;33;RGS024;101JEN04;79,47
y18;ack;r1;b4;219;RGS025;101JEN05;77,11
y18;ack;r1;b1;30;RGS026;101JEN06;79,04
y18;ack;r1;b5;279;RGS027;101JEN07;76,84
y18;ack;r1;b2;92;RGS028;101JEN08;71,58
y18;ack;r1;b1;31;RGS029;101JEN09;82,37
y18;ack;r1;b2;116;RGS030;101JEN10;76,05
y18;ack;r1;b4;214;RGS031;101JEN11;81,05
y18;ack;r1;b3;135;RGS032;101JEN12;80,96
y18;ack;r1;b5;278;RGS033;101ETI01;87,54
y18;ack;r1;b2;69;RGS034;101ETI02;83,16
y18;ack;r1;b5;292;RGS035;101ETI03;89,91
y18;ack;r1;b3;162;RGS036;101ETI04;84,39
y18;ack;r1;b5;296;RGS037;101ETI05;94,39
y18;ack;r1;b4;226;RGS038;101ETI06;76,05
y18;ack;r1;b4;218;RGS039;101ETI07;87,72
y18;ack;r1;b2;62;RGS040;101ETI08;81,05
y18;ack;r1;b3;171;RGS041;101ETI09;76,93
y18;ack;r1;b1;8;RGS042;101ETI10;86,23
y18;ack;r1;b1;32;RGS043;101ETI11;94,39
y18;ack;r1;b5;261;RGS044;101ETI12;93,68
y18;ack;r1;b4;234;RGS045;101ETI13;93,68
y18;ack;r1;b1;46;RGS046;101ETI14;85,88
y18;ack;r1;b1;22;RGS047;101OTT04;94,21
y18;ack;r1;b3;170;RGS048;101OTT05;78,51
y18;ack;r1;b1;57;RGS049;101OTT06;82,54
y18;ack;r1;b3;151;RGS050;101OTT09;87,19
y18;ack;r1;b3;168;RGS051;146MER01;86,67
y18;ack;r1;b2;97;RGS052;146MER02;77,02
y18;ack;r1;b4;199;RGS053;146MER03;90,09
y18;ack;r1;b3;140;RGS054;146MER04;95,53
y18;ack;r1;b1;2;RGS055;146MER05;85,53
y18;ack;r1;b4;231;RGS056;146MER06;79,12
y18;ack;r1;b4;196;RGS057;146MER07;86,58
y18;ack;r1;b3;177;RGS058;146MER08;86,4
y18;ack;r1;b4;192;RGS059;146MER09;82,89
y18;ack;r1;b2;70;RGS060;146MER10;89,12
y18;ack;r1;b3;122;RGS061;146QUA01;74,47
y18;ack;r1;b4;181;RGS062;146QUA02;76,84
y18;ack;r1;b5;249;RGS063;146QUA03;88,6
y18;ack;r1;b4;213;RGS064;146QUA04;78,42
y18;ack;r1;b4;190;RGS065;146QUA05;89,56
y18;ack;r1;b5;268;RGS066;146QUA06;82,72
y18;ack;r1;b4;205;RGS067;146QUA07;92,02
y18;ack;r1;b1;25;RGS068;146QUA08;87,11
y18;ack;r1;b4;180;RGS069;146QUA09;82,63
y18;ack;r1;b4;189;RGS070;146QUA10;90,61
y18;ack;r1;b3;147;RGS071;146JEN01;79,47
y18;ack;r1;b1;19;RGS072;146JEN02;81,84
y18;ack;r1;b5;276;RGS073;146JEN03;78,42
y18;ack;r1;b3;166;RGS074;146JEN04;81,84
y18;ack;r1;b4;206;RGS075;146JEN05;81,23
y18;ack;r1;b5;265;RGS076;146JEN06;86,49
y18;ack;r1;b1;21;RGS077;146JEN07;82,81
y18;ack;r1;b4;225;RGS078;146ETI01;82,28
y18;ack;r1;b1;54;RGS079;146ETI02;83,51
y18;ack;r1;b2;91;RGS080;146ETI03;50,53
y18;ack;r1;b2;63;RGS081;146ETI04;78,07
y18;ack;r1;b5;253;RGS082;146ETI05;75,44
y18;ack;r1;b1;34;RGS083;146ETI06;87,02
y18;ack;r1;b3;144;RGS084;146ETI07;73,95
y18;ack;r1;b4;212;RGS085;146ETI08;78,25
y18;ack;r1;b4;229;RGS086;146ETI09;81,93
y18;ack;r1;b2;93;RGS087;146ETI10;83,68
y18;ack;r1;b1;20;RGS088;146ETI12;84,65
y18;ack;r1;b4;194;RGS089;146ETI13;64,56
y18;ack;r1;b5;247;RGS090;146ETI14;82,54
y18;ack;r1;b3;164;RGS091;146OTT01;84,65
y18;ack;r1;b4;236;RGS092;146OTT02;76,4
y18;ack;r1;b2;106;RGS093;146OTT03;76,23
y18;ack;r1;b5;240;RGS094;146OTT04;84,65
y18;ack;r1;b5;274;RGS095;146OTT05;81,93
y18;ack;r1;b1;13;RGS096;146OTT06;87,28
y18;ack;r1;b1;10;RGS097;146OTT07;97,98
y18;ack;r1;b1;26;RGS098;146OTT08;78,16
y18;ack;r1;b1;56;RGS099;146OTT09;98,95
y18;ack;r1;b3;130;RGS100;146OTT10;64,91
y18;ack;r1;b2;86;RGS101;D33MER01;73,16
y18;ack;r1;b5;241;RGS102;D33MER02;89,74
y18;ack;r1;b4;195;RGS103;D33MER03;93,77
y18;ack;r1;b3;145;RGS104;D33MER04;78,68
y18;ack;r1;b2;114;RGS105;D33MER05;90,53
y18;ack;r1;b4;220;RGS106;D33MER06;85,53
y18;ack;r1;b4;202;RGS107;D33MER07;98,95
y18;ack;r1;b3;142;RGS108;D33MER08;86,93
y18;ack;r1;b3;176;RGS109;D33MER09;86,49
y18;ack;r1;b3;138;RGS110;D33MER10;88,86
y18;ack;r1;b3;133;RGS111;D33MER11;81,05
y18;ack;r1;b5;248;RGS112;D33MER12;95,7
y18;ack;r1;b3;141;RGS113;D33MER13;84,3
y18;ack;r1;b5;291;RGS114;D33MER14;85,7
y18;ack;r1;b3;174;RGS115;D33MER15;87,11
y18;ack;r1;b1;50;RGS116;D33MER16;97,54
y18;ack;r1;b3;156;RGS117;D33MER17;80,35
y18;ack;r1;b5;288;RGS118;D33MER18;80,26
y18;ack;r1;b2;115;RGS119;D33MER19;88,33
y18;ack;r1;b5;264;RGS120;D33MER20;91,84
y18;ack;r1;b5;258;RGS121;D33MER21;91,93
y18;ack;r1;b1;14;RGS122;D33MER22;101,93
y18;ack;r1;b1;43;RGS123;D33QUA01;94,3
y18;ack;r1;b2;102;RGS124;D33QUA02;89,47
y18;ack;r1;b4;222;RGS125;D33QUA03;91,49
y18;ack;r1;b2;81;RGS126;D33QUA04;89,12
