year;loc;rep;blk;plt;pgl;gen;FNR;yld;MT;NF;RAM;RH;ZR;
y18;ack;r1;b1;41;RGS251;101;70245;81,14;;3;;2;6;
y18;ack;r1;b2;119;RGS251;101;70309;79,12;;2;;3;6;
y18;ack;r1;b3;167;RGS251;101;70433;98,51;;;;;4;
y18;ack;r1;b4;215;RGS251;101;70557;90,70;;;;;5;
y18;ack;r1;b5;293;RGS251;101;70621;99,21;;;;;8;
y18;ack;r1;b1;5;RGS252;146;70206;67,28;;;;5;7;
y18;ack;r1;b2;71;RGS252;146;70318;66,84;;;;3;6;
y18;ack;r1;b3;143;RGS252;146;70442;72,28;;;;5;5;
y18;ack;r1;b4;197;RGS252;146;70530;66,40;;;;4;6;
y18;ack;r1;b5;269;RGS252;146;70654;73,16;;3;;2;7;
y18;ack;r1;b5;278;RGS033;101ETI01;70648;87,54;;;;4;6;
y18;ack;r1;b2;69;RGS034;101ETI02;70316;83,16;;2;;4;3;
y18;ack;r1;b5;292;RGS035;101ETI03;70622;89,91;;;;5;9;
y18;ack;r1;b3;162;RGS036;101ETI04;70444;84,39;;;;6;3;
y18;ack;r1;b5;296;RGS037;101ETI05;70612;94,39;;4;;4;4;
y18;ack;r1;b4;226;RGS038;101ETI06;70534;76,05;;4;;3;3;
y18;ack;r1;b4;218;RGS039;101ETI07;70548;87,72;;8;;;2;
y18;ack;r1;b2;62;RGS040;101ETI08;70303;81,05;;;;7;3;
y18;ack;r1;b3;171;RGS041;101ETI09;70423;76,93;;;;7;4;
y18;ack;r1;b1;8;RGS042;101ETI10;70215;86,23;;;;8;4;
y18;ack;r1;b1;32;RGS043;101ETI11;70260;94,39;3;3;;;3;
y18;ack;r1;b5;261;RGS044;101ETI12;70640;93,68;2;;;6;3;
y18;ack;r1;b4;234;RGS045;101ETI13;70520;93,68;;8;;3;;
y18;ack;r1;b1;46;RGS046;101ETI14;70234;85,88;4;2;;5;;
y18;ack;r1;b1;16;RGS021;101JEN01;70229;97,72;;;;8;;
y18;ack;r1;b4;238;RGS022;101JEN02;70510;73,77;;;;4;6;
y18;ack;r1;b1;4;RGS023;101JEN03;70205;89,65;;;;5;;
y18;ack;r1;b1;33;RGS024;101JEN04;70259;79,47;;3;;4;;
y18;ack;r1;b4;219;RGS025;101JEN05;70547;77,11;;;;8;;
y18;ack;r1;b1;30;RGS026;101JEN06;70255;79,04;;5;;4;;
y18;ack;r1;b5;279;RGS027;101JEN07;70647;76,84;;;;8;;
y18;ack;r1;b2;92;RGS028;101JEN08;70360;71,58;6;;;;8;
y18;ack;r1;b1;31;RGS029;101JEN09;70261;82,37;8;3;;3;;
y18;ack;r1;b2;116;RGS030;101JEN10;70312;76,05;2;2;;4;3;
y18;ack;r1;b4;214;RGS031;101JEN11;70558;81,05;;4;;5;;
y18;ack;r1;b3;135;RGS032;101JEN12;70428;80,96;;;;7;3;
y18;ack;r1;b5;297;RGS001;101MER01;70611;NA;;;;2;6;
y18;ack;r1;b5;294;RGS002;101MER02;70620;89,39;;;;2;3;
y18;ack;r1;b5;286;RGS003;101MER03;70634;90,18;;;;;7;
y18;ack;r1;b4;210;RGS004;101MER04;70555;76,93;;;3;;5;
