year;loc;rep;blk;plt;pgl;gen;yld
y18;bre;r1;b1;1;RGS079;146ETI02;72,45
y18;bre;r1;b1;2;RGS123;D33QUA01;91,86666667
y18;bre;r1;b1;3;RGS245;ANTETI17;90,73333333
y18;bre;r1;b1;4;RGS041;101ETI09;84,35
y18;bre;r1;b1;5;RGS258;ETI;97,38333333
y18;bre;r1;b1;6;RGS019;101MER19;68,53333333
y18;bre;r1;b1;7;RGS129;D33QUA07;82,66666667
y18;bre;r1;b1;8;RGS138;D33ETI08;86,8
y18;bre;r1;b1;9;RGS084;146ETI07;61,43333333
y18;bre;r1;b1;10;RGS136;D33ETI06;86,4
y18;bre;r1;b1;11;RGS254;D37;67,45
y18;bre;r1;b1;12;RGS176;D37QUA26;80,05
y18;bre;r1;b1;13;RGS128;D33QUA06;80,2
y18;bre;r1;b1;14;RGS127;D33QUA05;80,06666667
y18;bre;r1;b1;15;RGS247;ANTOTT01;86,31666667
y18;bre;r1;b1;16;RGS014;101MER14;91
y18;bre;r1;b1;17;RGS260;QUA;92,83333333
y18;bre;r1;b1;18;RGS201;ANTMER01;88,71666667
y18;bre;r1;b1;19;RGS092;146OTT02;80,83333333
y18;bre;r1;b1;20;RGS186;D37QUA36;89,65
y18;bre;r1;b1;21;RGS193;D37OTT06;82,4
y18;bre;r1;b1;22;RGS037;101ETI05;88,71666667
y18;bre;r1;b1;23;RGS252;146;63,65
y18;bre;r1;b1;24;RGS230;ANTETI02;92,85
y18;bre;r1;b1;25;RGS226;ANTQUA10;85,56666667
y18;bre;r1;b1;26;RGS103;D33MER03;88,03333333
y18;bre;r1;b1;27;RGS004;101MER04;83,78333333
y18;bre;r1;b1;28;RGS118;D33MER18;80,88333333
y18;bre;r1;b1;29;RGS256;ANT;89,98333333
y18;bre;r1;b1;30;RGS219;ANTQUA03;95,48333333
y18;bre;r1;b1;31;RGS212;ANTMER12;92,41666667
y18;bre;r1;b1;32;RGS170;D37QUA20;70,96666667
y18;bre;r1;b1;33;RGS003;101MER03;94,66666667
y18;bre;r1;b1;34;RGS218;ANTQUA02;86,61666667
y18;bre;r1;b1;35;RGS251;101;69,56666667
y18;bre;r1;b1;36;RGS198;D37OTT11;82,6
y18;bre;r1;b1;37;RGS097;146OTT07;80,85
y18;bre;r1;b1;38;RGS001;101MER01;86,73333333
y18;bre;r1;b1;39;RGS155;D37QUA05;85,16666667
y18;bre;r1;b1;40;RGS056;146MER06;82,13333333
y18;bre;r1;b1;41;RGS257;MER;95,83333333
y18;bre;r1;b1;42;RGS007;101MER07;85,85
y18;bre;r1;b1;43;RGS115;D33MER15;88,81666667
y18;bre;r1;b1;44;RGS112;D33MER12;81,55
y18;bre;r1;b1;45;RGS067;146QUA07;88,63333333
y18;bre;r1;b1;46;RGS011;101MER11;73,88333333
y18;bre;r1;b1;47;RGS255;OTT;91,2
y18;bre;r1;b1;48;RGS073;146JEN03;88,71666667
y18;bre;r1;b1;49;RGS063;146QUA03;79,95
y18;bre;r1;b1;50;RGS109;D33MER09;88,35
y18;bre;r1;b1;51;RGS027;101JEN07;62
y18;bre;r1;b1;52;RGS051;146MER01;83,95
