year;loc;rep;blk;plt;pgl;gen;yld
y18;lim;r1;b3;126;RGS001;101MER01;76,58
y18;lim;r1;b4;217;RGS002;101MER02;93,21
y18;lim;r1;b3;157;RGS003;101MER03;87,47
y18;lim;r1;b5;277;RGS004;101MER04;86,02
y18;lim;r1;b1;51;RGS005;101MER05;86,53
y18;lim;r1;b2;82;RGS006;101MER06;71,47
y18;lim;r1;b5;261;RGS007;101MER07;89,12
y18;lim;r1;b4;212;RGS008;101MER08;89,65
y18;lim;r1;b5;242;RGS009;101MER09;92,59
y18;lim;r1;b5;283;RGS010;101MER10;86,87
y18;lim;r1;b3;152;RGS011;101MER11;96,52
y18;lim;r1;b4;184;RGS012;101MER12;77,8
y18;lim;r1;b3;177;RGS013;101MER13;81,23
y18;lim;r1;b2;76;RGS014;101MER14;80,31
y18;lim;r1;b3;124;RGS015;101MER15;84,76
y18;lim;r1;b5;282;RGS016;101MER16;87,74
y18;lim;r1;b4;201;RGS017;101MER17;93,85
y18;lim;r1;b5;278;RGS018;101MER18;88,85
y18;lim;r1;b4;228;RGS019;101MER19;81,06
y18;lim;r1;b1;34;RGS020;101QUA01;83,06
y18;lim;r1;b4;190;RGS021;101JEN01;84,66
y18;lim;r1;b5;265;RGS022;101JEN02;85,07
y18;lim;r1;b5;243;RGS023;101JEN03;89,1
y18;lim;r1;b2;63;RGS024;101JEN04;86,2
y18;lim;r1;b4;195;RGS025;101JEN05;82,06
y18;lim;r1;b3;159;RGS026;101JEN06;83,41
y18;lim;r1;b2;75;RGS027;101JEN07;78,63
y18;lim;r1;b3;150;RGS028;101JEN08;95,37
y18;lim;r1;b2;93;RGS029;101JEN09;80,75
y18;lim;r1;b3;163;RGS030;101JEN10;84,6
y18;lim;r1;b2;86;RGS031;101JEN11;87,19
y18;lim;r1;b5;266;RGS032;101JEN12;79,96
y18;lim;r1;b3;146;RGS033;101ETI01;88,48
y18;lim;r1;b1;6;RGS034;101ETI02;75,45
y18;lim;r1;b1;37;RGS035;101ETI03;87,89
y18;lim;r1;b1;18;RGS036;101ETI04;67,79
y18;lim;r1;b2;103;RGS037;101ETI05;88,26
y18;lim;r1;b2;79;RGS038;101ETI06;68,48
y18;lim;r1;b2;114;RGS039;101ETI07;92,61
y18;lim;r1;b1;50;RGS040;101ETI08;88,02
y18;lim;r1;b4;231;RGS041;101ETI09;88,67
y18;lim;r1;b5;270;RGS042;101ETI10;78,21
y18;lim;r1;b2;62;RGS043;101ETI11;82,07
y18;lim;r1;b3;178;RGS044;101ETI12;82,72
y18;lim;r1;b3;164;RGS045;101ETI13;77,65
y18;lim;r1;b2;66;RGS046;101ETI14;85,17
y18;lim;r1;b2;108;RGS047;101OTT04;84,92
y18;lim;r1;b5;256;RGS048;101OTT05;80,94
y18;lim;r1;b5;292;RGS049;101OTT06;74,65
y18;lim;r1;b5;280;RGS050;101OTT09;91,05
y18;lim;r1;b5;244;RGS051;146MER01;87,45
y18;lim;r1;b3;142;RGS052;146MER02;80,91
y18;lim;r1;b2;115;RGS053;146MER03;83,47
y18;lim;r1;b5;294;RGS054;146MER04;85,53
y18;lim;r1;b5;248;RGS055;146MER05;88,25
y18;lim;r1;b4;200;RGS056;146MER06;81,79
y18;lim;r1;b3;141;RGS057;146MER07;82,13
y18;lim;r1;b1;2;RGS058;146MER08;82,4
y18;lim;r1;b4;235;RGS059;146MER09;79,79
y18;lim;r1;b4;225;RGS060;146MER10;82,57
y18;lim;r1;b4;223;RGS061;146QUA01;82,25
y18;lim;r1;b1;21;RGS062;146QUA02;83,13
y18;lim;r1;b5;241;RGS063;146QUA03;89,49
y18;lim;r1;b1;44;RGS064;146QUA04;77,94
y18;lim;r1;b4;194;RGS065;146QUA05;95,42
y18;lim;r1;b4;219;RGS066;146QUA06;95,54
y18;lim;r1;b4;240;RGS067;146QUA07;89,7
y18;lim;r1;b2;85;RGS068;146QUA08;87,76
y18;lim;r1;b5;298;RGS069;146QUA09;88,68
y18;lim;r1;b3;171;RGS070;146QUA10;82,01
y18;lim;r1;b1;20;RGS071;146JEN01;79,23
y18;lim;r1;b4;207;RGS072;146JEN02;92,86
y18;lim;r1;b2;72;RGS073;146JEN03;79,59
y18;lim;r1;b3;132;RGS074;146JEN04;78,49
y18;lim;r1;b1;8;RGS075;146JEN05;84,82
y18;lim;r1;b2;97;RGS076;146JEN06;83,36
y18;lim;r1;b1;45;RGS077;146JEN07;76,73
y18;lim;r1;b1;7;RGS078;146ETI01;82,29
y18;lim;r1;b3;158;RGS079;146ETI02;82,22
y18;lim;r1;b4;237;RGS080;146ETI03;93,95
y18;lim;r1;b4;224;RGS081;146ETI04;82,25
y18;lim;r1;b4;230;RGS082;146ETI05;90,67
y18;lim;r1;b3;151;RGS083;146ETI06;81,18
y18;lim;r1;b4;206;RGS084;146ETI07;64,55
y18;lim;r1;b1;28;RGS085;146ETI08;81,59
y18;lim;r1;b3;145;RGS086;146ETI09;85,2
y18;lim;r1;b2;87;RGS087;146ETI10;67,81
y18;lim;r1;b5;289;RGS088;146ETI12;86,66
y18;lim;r1;b5;262;RGS089;146ETI13;86,4
y18;lim;r1;b4;189;RGS090;146ETI14;80,49
y18;lim;r1;b4;208;RGS091;146OTT01;92,98
y18;lim;r1;b1;10;RGS092;146OTT02;80,45
y18;lim;r1;b3;156;RGS093;146OTT03;87,51
y18;lim;r1;b2;99;RGS094;146OTT04;82,76
y18;lim;r1;b4;238;RGS095;146OTT05;89,94
y18;lim;r1;b5;300;RGS096;146OTT06;83,19
y18;lim;r1;b2;106;RGS097;146OTT07;86,97
y18;lim;r1;b2;100;RGS098;146OTT08;79,96
y18;lim;r1;b2;91;RGS099;146OTT09;93,12
y18;lim;r1;b1;1;RGS100;146OTT10;82,31
y18;lim;r1;b4;213;RGS101;D33MER01;87,07
y18;lim;r1;b3;138;RGS102;D33MER02;87,47
y18;lim;r1;b3;165;RGS103;D33MER03;85,82
y18;lim;r1;b1;14;RGS104;D33MER04;86,53
y18;lim;r1;b1;60;RGS105;D33MER05;84,22
y18;lim;r1;b1;43;RGS106;D33MER06;68,78
y18;lim;r1;b5;246;RGS107;D33MER07;86,83
y18;lim;r1;b2;96;RGS108;D33MER08;79,97
y18;lim;r1;b5;286;RGS109;D33MER09;75,94
y18;lim;r1;b1;15;RGS110;D33MER10;82,18
y18;lim;r1;b4;222;RGS111;D33MER11;81,01
y18;lim;r1;b4;204;RGS112;D33MER12;83,52
y18;lim;r1;b5;250;RGS113;D33MER13;82,96
