year;loc;rep;blk;plt;pgl;gen;yld
y18;wvb;r1;b3;124;RGS001;101MER01;75,65217391
y18;wvb;r1;b2;61;RGS002;101MER02;79,13043478
y18;wvb;r1;b2;64;RGS003;101MER03;69,85507246
y18;wvb;r1;b3;170;RGS004;101MER04;84,05797101
y18;wvb;r1;b5;243;RGS005;101MER05;81,15942029
y18;wvb;r1;b2;75;RGS006;101MER06;89,85507246
y18;wvb;r1;b5;277;RGS007;101MER07;83,76811594
y18;wvb;r1;b1;22;RGS008;101MER08;88,69565217
y18;wvb;r1;b4;189;RGS009;101MER09;71,88405797
y18;wvb;r1;b2;70;RGS010;101MER10;89,27536232
y18;wvb;r1;b2;97;RGS011;101MER11;91,30434783
y18;wvb;r1;b3;121;RGS012;101MER12;73,33333333
y18;wvb;r1;b4;186;RGS013;101MER13;72,46376812
y18;wvb;r1;b2;88;RGS014;101MER14;97,10144928
y18;wvb;r1;b5;298;RGS015;101MER15;65,2173913
y18;wvb;r1;b2;91;RGS016;101MER16;101,4492754
y18;wvb;r1;b2;62;RGS017;101MER17;69,27536232
y18;wvb;r1;b2;109;RGS018;101MER18;84,63768116
y18;wvb;r1;b3;138;RGS019;101MER19;88,69565217
y18;wvb;r1;b1;56;RGS020;101QUA01;55,07246377
y18;wvb;r1;b2;80;RGS021;101JEN01;95,36231884
y18;wvb;r1;b3;156;RGS022;101JEN02;88,11594203
y18;wvb;r1;b2;111;RGS023;101JEN03;85,2173913
y18;wvb;r1;b3;128;RGS024;101JEN04;81,73913043
y18;wvb;r1;b2;108;RGS025;101JEN05;78,84057971
y18;wvb;r1;b5;300;RGS026;101JEN06;64,92753623
y18;wvb;r1;b4;217;RGS027;101JEN07;88,98550725
y18;wvb;r1;b1;7;RGS028;101JEN08;61,73913043
y18;wvb;r1;b5;295;RGS029;101JEN09;55,07246377
y18;wvb;r1;b3;120;RGS030;101JEN10;76,52173913
y18;wvb;r1;b3;142;RGS031;101JEN11;102,3188406
y18;wvb;r1;b4;199;RGS032;101JEN12;83,76811594
y18;wvb;r1;b5;282;RGS033;101ETI01;77,97101449
y18;wvb;r1;b1;44;RGS034;101ETI02;82,89855072
y18;wvb;r1;b4;210;RGS035;101ETI03;92,17391304
y18;wvb;r1;b5;242;RGS036;101ETI04;68,69565217
y18;wvb;r1;b4;198;RGS037;101ETI05;86,95652174
y18;wvb;r1;b5;294;RGS038;101ETI06;57,68115942
y18;wvb;r1;b4;226;RGS039;101ETI07;72,17391304
y18;wvb;r1;b5;270;RGS040;101ETI08;98,26086957
y18;wvb;r1;b4;228;RGS041;101ETI09;72,46376812
y18;wvb;r1;b5;290;RGS042;101ETI10;57,97101449
y18;wvb;r1;b4;182;RGS043;101ETI11;79,13043478
y18;wvb;r1;b5;248;RGS044;101ETI12;50,43478261
y18;wvb;r1;b4;195;RGS045;101ETI13;77,39130435
y18;wvb;r1;b3;176;RGS046;101ETI14;74,20289855
y18;wvb;r1;b1;46;RGS047;101OTT04;75,07246377
y18;wvb;r1;b2;98;RGS048;101OTT05;91,88405797
y18;wvb;r1;b3;163;RGS049;101OTT06;83,1884058
y18;wvb;r1;b2;118;RGS050;101OTT09;73,91304348
y18;wvb;r1;b3;169;RGS051;146MER01;83,47826087
y18;wvb;r1;b2;79;RGS052;146MER02;86,08695652
y18;wvb;r1;b4;190;RGS053;146MER03;84,92753623
y18;wvb;r1;b3;132;RGS054;146MER04;98,84057971
y18;wvb;r1;b4;224;RGS055;146MER05;70,14492754
y18;wvb;r1;b5;264;RGS056;146MER06;78,84057971
y18;wvb;r1;b3;150;RGS057;146MER07;90,43478261
y18;wvb;r1;b1;9;RGS058;146MER08;78,26086957
y18;wvb;r1;b3;165;RGS059;146MER09;77,68115942
y18;wvb;r1;b4;181;RGS060;146MER10;79,71014493
y18;wvb;r1;b2;112;RGS061;146QUA01;80,28985507
y18;wvb;r1;b1;4;RGS062;146QUA02;76,52173913
y18;wvb;r1;b3;141;RGS063;146QUA03;94,49275362
y18;wvb;r1;b3;175;RGS064;146QUA04;71,30434783
y18;wvb;r1;b1;15;RGS065;146QUA05;66,66666667
y18;wvb;r1;b2;117;RGS066;146QUA06;77,10144928
y18;wvb;r1;b3;122;RGS067;146QUA07;77,39130435
y18;wvb;r1;b2;100;RGS068;146QUA08;89,27536232
y18;wvb;r1;b5;296;RGS069;146QUA09;62,02898551
y18;wvb;r1;b2;86;RGS070;146QUA10;95,36231884
y18;wvb;r1;b4;229;RGS071;146JEN01;71,01449275
y18;wvb;r1;b1;6;RGS072;146JEN02;61,73913043
y18;wvb;r1;b2;74;RGS073;146JEN03;76,52173913
y18;wvb;r1;b3;172;RGS074;146JEN04;70,72463768
y18;wvb;r1;b5;291;RGS075;146JEN05;65,2173913
y18;wvb;r1;b2;63;RGS076;146JEN06;60,86956522
y18;wvb;r1;b5;286;RGS077;146JEN07;77,39130435
y18;wvb;r1;b1;13;RGS078;146ETI01;53,33333333
y18;wvb;r1;b4;200;RGS079;146ETI02;90,14492754
y18;wvb;r1;b3;130;RGS080;146ETI03;67,82608696
y18;wvb;r1;b4;214;RGS081;146ETI04;93,33333333
y18;wvb;r1;b4;220;RGS082;146ETI05;76,52173913
y18;wvb;r1;b1;28;RGS083;146ETI06;88,11594203
y18;wvb;r1;b3;177;RGS084;146ETI07;71,5942029
y18;wvb;r1;b3;166;RGS085;146ETI08;79,13043478
y18;wvb;r1;b1;51;RGS086;146ETI09;77,39130435
y18;wvb;r1;b2;90;RGS087;146ETI10;86,37681159
y18;wvb;r1;b5;260;RGS088;146ETI12;73,62318841
y18;wvb;r1;b1;38;RGS089;146ETI13;77,39130435
y18;wvb;r1;b4;202;RGS090;146ETI14;79,71014493
y18;wvb;r1;b1;3;RGS091;146OTT01;63,47826087
y18;wvb;r1;b5;273;RGS092;146OTT02;88,98550725
y18;wvb;r1;b1;42;RGS093;146OTT03;72,17391304
y18;wvb;r1;b4;237;RGS094;146OTT04;73,04347826
y18;wvb;r1;b4;234;RGS095;146OTT05;60
y18;wvb;r1;b1;37;RGS096;146OTT06;78,84057971
y18;wvb;r1;b1;32;RGS097;146OTT07;95,65217391
y18;wvb;r1;b1;16;RGS098;146OTT08;70,43478261
y18;wvb;r1;b2;105;RGS099;146OTT09;77,68115942
y18;wvb;r1;b2;102;RGS100;146OTT10;83,76811594
y18;wvb;r1;b1;25;RGS101;D33MER01;84,05797101
y18;wvb;r1;b3;135;RGS102;D33MER02;96,52173913
y18;wvb;r1;b5;278;RGS103;D33MER03;89,27536232
y18;wvb;r1;b5;268;RGS104;D33MER04;92,46376812
y18;wvb;r1;b5;288;RGS105;D33MER05;78,84057971
y18;wvb;r1;b5;297;RGS106;D33MER06;66,37681159
y18;wvb;r1;b1;50;RGS107;D33MER07;82,31884058
y18;wvb;r1;b3;123;RGS108;D33MER08;71,88405797
y18;wvb;r1;b5;249;RGS109;D33MER09;68,4057971
y18;wvb;r1;b3;140;RGS110;D33MER10;101,4492754
y18;wvb;r1;b2;81;RGS111;D33MER11;89,85507246
y18;wvb;r1;b3;159;RGS112;D33MER12;88,98550725
y18;wvb;r1;b3;157;RGS113;D33MER13;87,24637681
y18;wvb;r1;b1;12;RGS114;D33MER14;66,66666667
y18;wvb;r1;b5;252;RGS115;D33MER15;67,82608696
y18;wvb;r1;b3;160;RGS116;D33MER16;86,95652174
y18;wvb;r1;b5;280;RGS117;D33MER17;80
y18;wvb;r1;b3;154;RGS118;D33MER18;94,20289855
y18;wvb;r1;b2;94;RGS119;D33MER19;93,04347826
y18;wvb;r1;b5;292;RGS120;D33MER20;60,86956522
y18;wvb;r1;b1;14;RGS121;D33MER21;73,62318841
y18;wvb;r1;b2;73;RGS122;D33MER22;89,85507246
y18;wvb;r1;b2;60;RGS123;D33QUA01;76,52173913
y18;wvb;r1;b5;265;RGS124;D33QUA02;87,53623188
y18;wvb;r1;b5;256;RGS125;D33QUA03;69,27536232
y18;wvb;r1;b3;129;RGS126;D33QUA04;87,82608696
y18;wvb;r1;b4;232;RGS127;D33QUA05;58,84057971
y18;wvb;r1;b3;139;RGS128;D33QUA06;81,15942029
y18;wvb;r1;b1;20;RGS129;D33QUA07;81,44927536
y18;wvb;r1;b1;19;RGS130;D33QUA08;80,28985507
y18;wvb;r1;b2;69;RGS131;D33ETI01;83,47826087
y18;wvb;r1;b1;31;RGS132;D33ETI02;90,43478261
y18;wvb;r1;b4;206;RGS133;D33ETI03;90,72463768
y18;wvb;r1;b4;194;RGS134;D33ETI04;83,47826087
y18;wvb;r1;b4;201;RGS135;D33ETI05;90,72463768
y18;wvb;r1;b5;266;RGS136;D33ETI06;78,84057971
y18;wvb;r1;b1;40;RGS137;D33ETI07;61,44927536
y18;wvb;r1;b1;10;RGS138;D33ETI08;43,1884058
y18;wvb;r1;b1;36;RGS139;D33ETI09;83,76811594
y18;wvb;r1;b5;261;RGS140;D33ETI10;68,4057971
