yld;year;loc;rep;blk;plt;pgl;gen;TKM;HLG;MT;RH;NF;ZR;;;;
75,65217391;y18;wvb;r1;b3;124;RGS001;101MER01;34,16;65,9;;6,0;;5,0;;;;
79,13043478;y18;wvb;r1;b2;61;RGS002;101MER02;32,68;61,6;6,0;;;5,0;;;;
69,85507246;y18;wvb;r1;b2;64;RGS003;101MER03;38,23;66,0;;;;;;;;
84,05797101;y18;wvb;r1;b3;170;RGS004;101MER04;36,46;67,9;;7,0;;;;;;
81,15942029;y18;wvb;r1;b5;243;RGS005;101MER05;33,50;69,1;;7,0;;;;;;
89,85507246;y18;wvb;r1;b2;75;RGS006;101MER06;41,74;69,9;5,0;;;;;;;
83,76811594;y18;wvb;r1;b5;277;RGS007;101MER07;38,92;67,9;;7,0;;5,0;;;;
88,69565217;y18;wvb;r1;b1;22;RGS008;101MER08;36,30;69,9;;;;;;;;
71,88405797;y18;wvb;r1;b4;189;RGS009;101MER09;35,06;62,3;5,0;;;;;;;
89,27536232;y18;wvb;r1;b2;70;RGS010;101MER10;32,43;69,2;4,0;5,0;;;;;;
91,30434783;y18;wvb;r1;b2;97;RGS011;101MER11;50,58;72,0;4,0;5,0;;;;;;
73,33333333;y18;wvb;r1;b3;121;RGS012;101MER12;34,68;67,2;6,0;;;;;;;
72,46376812;y18;wvb;r1;b4;186;RGS013;101MER13;35,38;67,3;3,0;5,0;;;;;;
97,10144928;y18;wvb;r1;b2;88;RGS014;101MER14;39,93;66,7;;8,0;;;;;;
65,2173913;y18;wvb;r1;b5;298;RGS015;101MER15;31,03;65,6;9,0;6,0;;;;;;
101,4492754;y18;wvb;r1;b2;91;RGS016;101MER16;31,39;70,8;;3,0;;;;;;
69,27536232;y18;wvb;r1;b2;62;RGS017;101MER17;32,01;67,1;;5,0;;;;;;
84,63768116;y18;wvb;r1;b2;109;RGS018;101MER18;29,27;67,1;6,0;;;;;;;
88,69565217;y18;wvb;r1;b3;138;RGS019;101MER19;35,69;66,5;;;;;;;;
55,07246377;y18;wvb;r1;b1;56;RGS020;101QUA01;34,31;67,7;;7,0;;;;;;
95,36231884;y18;wvb;r1;b2;80;RGS021;101JEN01;33,01;67,2;;5,0;;;;;;
88,11594203;y18;wvb;r1;b3;156;RGS022;101JEN02;35,75;69,3;4,0;;;;;;;
85,2173913;y18;wvb;r1;b2;111;RGS023;101JEN03;33,64;66,2;3,0;;;;;;;
81,73913043;y18;wvb;r1;b3;128;RGS024;101JEN04;;;;;;;;;;
78,84057971;y18;wvb;r1;b2;108;RGS025;101JEN05;34,17;65,2;7,0;;;;;;;
64,92753623;y18;wvb;r1;b5;300;RGS026;101JEN06;38,82;67,9;;;5,0;;;;;
88,98550725;y18;wvb;r1;b4;217;RGS027;101JEN07;37,46;64,3;4,0;;;;;;;
61,73913043;y18;wvb;r1;b1;7;RGS028;101JEN08;34,24;68,5;;5,0;;;;;;
55,07246377;y18;wvb;r1;b5;295;RGS029;101JEN09;43,01;69,4;3,0;;;;;;;
76,52173913;y18;wvb;r1;b3;120;RGS030;101JEN10;36,71;67,9;7,0;;5,0;;;;;
102,3188406;y18;wvb;r1;b3;142;RGS031;101JEN11;37,69;66,9;;;;;;;;
83,76811594;y18;wvb;r1;b4;199;RGS032;101JEN12;34,71;68,6;;;;;;;;
77,97101449;y18;wvb;r1;b5;282;RGS033;101ETI01;43,82;67,2;;;;;;;;
